[(4768,7209),
 (4285,4325),
 (5069,6992),
 (4045,4498),
 (3848,8843),
 (6041,2613),
 (7684,3082),
 (6044,3854),
 (3447,4664),
 (6574,5602),
 (3570,7349),
 (4525,5350),
 (5069,4507),
 (4514,9062),
 (4299,3993),
 (4848,3222),
 (5772,9297),
 (2985,5495),
 (5931,4312),
 (3177,6887),
 (3292,5375),
 (8141,3642),
 (5795,3398),
 (3902,4696),
 (3996,7616),
 (6794,4376),
 (5564,10606),
 (3779,5878),
 (5535,7998),
 (5354,4186),
 (5491,7074),
 (5574,3381),
 (4452,4259),
 (3974,2712),
 (4121,6180),
 (3891,9320),
 (6130,3354),
 (6586,3577),
 (5693,7640),
 (4866,6716),
 (4760,7169),
 (5021,8150),
 (4053,6237),
 (5824,10299),
 (6651,8775),
 (6207,5495),
 (6362,4109),
 (4781,6257),
 (6849,5519),
 (5664,9425),
 (3558,7206),
 (5960,4781),
 (4001,5548),
 (3785,4777),
 (6182,9964),
 (5486,4287),
 (5316,3549),
 (7400,3216),
 (5080,9826),
 (3987,8746),
 (4141,6195),
 (4209,5250),
 (5670,10186),
 (5036,10656),
 (7481,3058),
 (6404,8849),
 (5100,5414),
 (5479,3871),
 (4008,7036),
 (6962,3769),
 (3883,6327),
 (3210,4941),
 (4169,5764),
 (4006,6027),
 (7712,4194),
 (4186,5076),
 (6138,7987),
 (5711,9805),
 (3366,6501),
 (3569,4843),
 (6822,3593),
 (2945,6284),
 (3536,5641),
 (6558,4685),
 (5810,5544),
 (4676,9443),
 (6739,5262),
 (5527,3670),
 (5336,6721),
 (5094,9717),
 (4651,3343),
 (4988,9068),
 (6060,4322),
 (5908,8378),
 (6206,4074),
 (6822,5666),
 (3962,6095),
 (4972,3398),
 (4615,9329),
 (5281,7718),
 (3514,6688),
 (6937,3028),
 (6093,4961),
 (3736,5763),
 (6066,3610),
 (3812,6085),
 (4630,7574),
 (3427,6294),
 (4728,3683),
 (6112,8896),
 (3588,5702),
 (6341,4406),
 (5431,6861),
 (5199,3820),
 (5129,8031),
 (6683,4996),
 (7504,3824),
 (5975,8612),
 (4401,6012),
 (6858,3346),
 (3451,5208),
 (3472,5689),
 (6993,5272),
 (6914,3343),
 (4630,6415),
 (5599,5527),
 (3500,6756),
 (4571,8193),
 (5090,8984),
 (5583,8011),
 (4189,5824),
 (6009,2946),
 (3951,5965),
 (3954,2845),
 (5015,8676),
 (5975,10191),
 (5229,6466),
 (6206,2835),
 (7608,3944),
 (3440,5366),
 (6240,7900),
 (4737,6600),
 (5755,7042),
 (3994,2735),
 (3296,6897),
 (3282,5787),
 (6378,3438),
 (5140,5852),
 (4223,5628),
 (4609,7774),
 (5387,2833),
 (4845,3319),
 (4086,3379),
 (7093,5670),
 (4812,4070),
 (4581,7203),
 (7955,2791),
 (5914,9889),
 (5646,3869),
 (4294,6917),
 (3476,6440),
 (4234,8214),
 (6968,3469),
 (3597,5371),
 (4554,4128),
 (5271,4191),
 (5032,5197),
 (5280,10699),
 (4733,9587),
 (5998,7398),
 (7032,4835),
 (6176,4229),
 (5279,4003),
 (5388,8890),
 (3937,7926),
 (4279,5502),
 (8163,3557),
 (3649,6397),
 (4097,2853),
 (4943,4601),
 (6306,3973),
 (4640,4751),
 (6647,2873),
 (3426,7089),
 (4909,7066),
 (5145,10048),
 (4184,5801),
 (3596,6977),
 (3182,6732),
 (5849,9248),
 (5246,7953),
 (4223,7817),
 (3802,5435),
 (7319,3853),
 (5310,6730),
 (4264,4459),
 (4748,8912),
 (5027,5425),
 (3493,5498),
 (6058,8620),
 (3216,5644),
 (4613,10530),
 (4683,5828),
 (4023,5522),
 (3874,7978),
 (5519,7901),
 (5133,7797),
 (5724,4935),
 (6585,4118),
 (4905,4626),
 (5288,7626),
 (3791,6964),
 (5773,9400),
 (4057,7573),
 (6035,9281),
 (5061,7063),
 (6440,3090),
 (3391,5292),
 (7109,3555),
 (5886,2736),
 (4723,3587),
 (5758,8613),
 (3946,4986),
 (6318,8614),
 (4920,10088),
 (5360,6078),
 (3675,7133),
 (3856,5894),
 (3638,5714),
 (5531,7701),
 (4693,9395),
 (4278,6138),
 (3738,4952),
 (4051,5043),
 (5306,3164),
 (6574,3693),
 (3694,7147),
 (4375,7229),
 (4406,3921),
 (6149,2964),
 (8383,4081),
 (3986,9300),
 (5879,9382),
 (5836,7374),
 (5863,4422),
 (4913,3038),
 (6102,8323),
 (4698,4682),
 (5471,10613),
 (3920,6929),
 (3988,7043),
 (4458,4899),
 (4172,6096),
 (5211,3590),
 (5914,4919),
 (5825,9515),
 (6011,9369),
 (5940,10114),
 (4791,3149),
 (6650,4863),
 (5104,3690),
 (6482,5706),
 (3656,5820),
 (6068,9161),
 (6007,8468),
 (7375,5357),
 (7790,3176),
 (4525,3051),
 (5527,5414),
 (4636,8938),
 (4775,5511),
 (4961,8684),
 (5907,7901),
 (4944,7985),
 (5763,6602),
 (5550,8019),
 (4429,4539),
 (7003,2941),
 (4251,2873),
 (6026,5286),
 (4836,4424),
 (8035,3929),
 (4154,5657),
 (3221,5601),
 (3933,7008),
 (3783,6900),
 (3272,5306),
 (4739,9436),
 (5408,7454),
 (5989,9679),
 (4297,2678),
 (5930,7656),
 (5006,4702),
 (7323,4757),
 (5157,10255),
 (4908,6465),
 (5254,9877),
 (3853,6732),
 (3103,7463),
 (5988,9625),
 (4761,4430),
 (3410,6794),
 (7481,4264),
 (4374,4925),
 (5401,2797),
 (3919,5219),
 (5308,9755),
 (3159,5599),
 (3026,5495),
 (5075,3692),
 (3247,6594),
 (5212,7134),
 (3410,5173),
 (5281,7547),
 (5772,9328),
 (4798,5976),
 (4511,2770),
 (6892,3541),
 (5159,4438),
 (4032,6560),
 (3929,4630),
 (6446,3744),
 (6418,4779),
 (5389,8394),
 (3398,6296),
 (3856,9314),
 (5567,7595),
 (4808,5494),
 (5584,4688),
 (4887,10833),
 (5988,8037),
 (5257,7979),
 (7961,8340),
 (7507,3466),
 (7138,5068),
 (4621,4390),
 (3659,4937),
 (5285,2909),
 (3220,5434),
 (6274,7704),
 (5773,5273),
 (5550,3623),
 (4027,6364),
 (4989,10070),
 (4611,3661),
 (5476,9546),
 (4028,6130),
 (5485,10201),
 (5432,8065),
 (6902,3306),
 (4101,5652),
 (6169,7885),
 (4957,3932),
 (5098,4624),
 (5273,6278),
 (7028,5720),
 (3603,6999),
 (4120,5760),
 (5833,7907),
 (4413,6718),
 (4289,3334),
 (5057,8788),
 (5551,7608),
 (5614,9170),
 (6042,8198),
 (7035,5627),
 (4214,7147),
 (4072,6030),
 (4400,6291),
 (4307,3548),
 (6374,7877),
 (7481,3692),
 (5772,5682),
 (5074,2930),
 (4826,4298),
 (3892,7196),
 (5477,9776),
 (4246,5425),
 (3563,5667),
 (5504,7742),
 (4807,5891),
 (7060,4660),
 (5459,7198),
 (3994,9478),
 (7593,4552),
 (5163,3816),
 (5526,9917),
 (5017,6970),
 (4171,4908),
 (5406,6316),
 (4989,6346),
 (5045,4280),
 (6113,7313),
 (5218,5265),
 (6277,4457),
 (5928,4641),
 (5665,9311),
 (4774,5632),
 (4484,6646),
 (4327,6127),
 (4882,6364),
 (5670,7736),
 (4443,7821),
 (4976,6868),
 (6975,4091),
 (3427,5449),
 (4050,5999),
 (6059,5507),
 (3687,5808),
 (4610,4808),
 (5684,9488),
 (5257,3236),
 (5240,10562),
 (5432,10023),
 (5324,10369),
 (6815,3943),
 (6008,9300),
 (4598,7614),
 (5051,2842),
 (3844,4923),
 (5773,10175),
 (2962,5437),
 (7412,4164),
 (3374,5671),
 (5638,10427),
 (3341,5625),
 (5008,2955),
 (5027,6138),
 (3396,5248),
 (5694,9164),
 (6770,3544),
 (5289,3603),
 (5299,9039),
 (5233,4436),
 (5667,3497),
 (6949,4946),
 (3757,5329),
 (3584,5683),
 (4337,5724),
 (5242,3150),
 (5089,8472),
 (4552,5683),
 (3565,6631),
 (3941,7243),
 (4670,3992),
 (4018,6054),
 (3861,6838),
 (7545,3499),
 (6758,3335),
 (3860,6883),
 (5371,9751),
 (6937,3640),
 (5286,8548),
 (5188,3637),
 (3941,6958),
 (4112,5998),
 (5316,9447),
 (3448,5400),
 (5021,7083),
 (4874,3532),
 (5173,3156),
 (4302,4343),
 (7255,4557),
 (5994,4031),
 (5377,3803),
 (3063,6054),
 (3625,6398),
 (4626,8069),
 (5276,2787),
 (5402,4871),
 (4858,2947),
 (4076,5204),
 (3241,5956),
 (6034,9562),
 (5862,5499),
 (4496,8480),
 (4576,9291),
 (8142,4120),
 (4544,2735),
 (4006,8698),
 (6865,3289),
 (6154,8063),
 (6141,9484),
 (4594,4710),
 (5667,8318),
